time,open,close,price,volume,dayHigh,dayLow,SMA_5,SMA_10,RSI,MACD,Signal_Line,MACD_Histogram,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med
2024-11-23,98810.07,97811.75,98418.04875,1792930649383.191,99860.0,97010.0,98530.53908333334,98669.23316666666,42.154833445628746,-226.06468895685973,-128.44504554566538,-97.61964341119436,0.0845042372881356,0.01885593220338983,0.8966398305084746,0.23086779661016948,0.08,0.0,0.909,0.2263
2024-11-24,97902.47,98274.66,97546.67083333334,1100251861555.284,99005.305,95611.0,97571.45583333333,97717.89025,37.04144003241187,-302.3853087323223,-404.7779540991047,102.3926453667824,0.07164024390243903,0.04835975609756098,0.88,0.04519817073170731,0.07,0.0,0.888,0.0
2024-11-25,97932.41,94211.7,96869.26260869566,1339462485896.4866,98999.0,92534.93,97151.63078260868,97320.81304347827,47.52779882036452,-882.2943910704053,-560.0255036095948,-322.26888746081045,0.05647395833333333,0.03540104166666667,0.9081250000000001,0.028603645833333333,0.0,0.0,1.0,0.0
2024-11-26,93216.8,91807.63,93168.90250000001,2371833877183.4336,98999.0,90682.58,93389.32875,93659.14495833333,35.14397880240272,-878.5854900611157,-863.5751738645287,-15.01031619658704,0.05573655913978495,0.03853763440860215,0.905731182795699,0.010252688172043011,0.0,0.0,1.0,0.0
2024-11-27,92221.3,96171.02,94181.75624999999,2171423963413.5713,97387.9,90682.58,93796.67183333333,93411.19945833333,64.03386543251135,864.8340273698414,618.4457554805465,246.38827188929488,0.0351767955801105,0.02241988950276243,0.9424198895027625,0.014827624309392261,0.0,0.0,1.0,0.0
2024-11-28,96108.79,95723.42,95451.15749999999,1830771352984.995,97387.9,91804.37,95535.8055,95640.33354166667,49.784960660203126,60.92218163482903,105.55340836727332,-44.631226732444304,0.042107784431137725,0.02913173652694611,0.9287604790419162,0.08882095808383234,0.0,0.0,1.0,0.0
2024-11-29,95484.35,97265.09,96833.21250000001,1438534017675.6587,98750.0,94611.9,96665.00050000001,96436.39991666668,63.809659860479094,429.3525265261415,471.1468986555884,-41.79437212944691,0.10920666666666667,0.055913333333333336,0.83488,0.14877266666666666,0.0,0.0,0.906,0.0
2024-11-30,97324.7,96572.0,96771.37263157895,1282948526672.9004,98750.0,95406.1,96834.31536842106,96916.56810526316,43.04504936736747,5.886280110862572,36.34188967352472,-30.455609562662147,0.1306021505376344,0.026623655913978493,0.842763440860215,0.2598537634408602,0.107,0.0,0.843,0.06425
2024-12-01,96590.29,97767.17,96917.32458333333,1067726301707.5939,97988.0,95753.42,96848.78741666667,96790.30091666667,58.21458547317269,228.47680439152464,164.03591454537457,64.44088984615007,0.0622463768115942,0.012111111111111112,0.9256376811594202,0.1338888888888889,0.0,0.0,1.0,0.0
2024-12-02,97142.93,95566.39,96118.81624999999,1537153266613.1675,98240.0,94376.9,96288.97558333333,96442.332625,43.6602938542772,-298.99825307456194,-284.24648265718844,-14.751770417373509,0.08492441860465116,0.024651162790697675,0.8904244186046512,0.16143313953488372,0.0,0.0,0.928,0.0
2024-12-03,95894.04,95964.18,95571.36499999999,1968181688638.6975,98240.0,93565.1,95542.38274999999,95569.33616666666,47.17692694914169,-27.43810843161191,-138.0882585843491,110.65015015273718,0.07993854748603353,0.030497206703910613,0.8894804469273744,0.16458324022346368,0.0,0.0,0.954,0.0
2024-12-04,95999.9,98810.59,96480.08916666667,1816600036074.0288,99263.2,93565.1,96259.41674999999,96134.63154166668,59.15611748058972,562.5539564914361,265.3047287049924,297.2492277864437,0.07861666666666667,0.01961111111111111,0.9017333333333334,0.180665,0.0,0.0,1.0,0.0
2024-12-05,98554.89,96048.91,101298.0025,3277540701122.1294,104015.5,88800.0,101353.98574999999,100982.142875,60.04149283180868,-157.81327795817924,670.7824633270965,-828.5957412852757,0.145390625,0.03360546875,0.82100390625,0.341321484375,0.11900000000000001,0.0,0.797,0.3818
2024-12-06,96634.07,100533.05,98895.23166666667,3753862197057.284,103665.6,88800.0,98642.31,98588.38479166666,50.0980810656547,533.500988230764,236.95037103133384,296.55061719943023,0.13158139534883723,0.07848504983388704,0.789936877076412,0.17069734219269103,0.05,0.0,0.788,0.0
2024-12-07,100099.89,99960.0,99803.70041666667,2200334482715.185,102104.12,96635.84,99872.78058333334,99963.39454166667,47.67011715119916,107.1788663314801,75.26247956474404,31.916386766736053,0.09690232558139535,0.05933023255813954,0.8437674418604652,0.09605581395348838,0.0,0.0,0.902,0.0
2024-12-08,99816.11,100285.28,99820.825,1299950900056.7617,100581.03,98699.7,99817.14841666666,99827.96058333333,50.169881020391436,77.1750648325833,28.713170506449785,48.46189432613352,0.14656626506024095,0.052582329317269076,0.800847389558233,0.24484538152610444,0.091,0.0,0.751,0.2263
2024-12-09,100865.86,97280.0,98568.52583333333,1492512030194.5093,101480.0,94140.9,98831.21633333333,99092.95425000001,40.721899103550776,-684.5629443020443,-537.6460790948839,-146.9168652071604,0.11882278481012659,0.06877848101265824,0.8123860759493671,0.21141518987341776,0.0,0.0,0.767,0.0
2024-12-10,97082.7,96979.09,96894.315,3415237696148.103,101212.48,94140.9,96902.94925,97067.10791666666,45.44359865121165,-385.1313669694064,-464.7732675600452,79.64190059063878,0.06525247524752475,0.058806930693069304,0.8759405940594059,0.08888514851485148,0.0,0.0,0.912,0.0
2024-12-11,96832.44,101397.82,98941.37800000001,2879317891428.0938,101984.98,94273.38,98574.94271999999,98057.64444,69.31126820063601,1098.3567151085151,896.6089345991675,201.74778050934788,0.061797413793103446,0.020663793103448277,0.9175301724137931,0.11233706896551725,0.0,0.0,1.0,0.0
2024-12-12,101171.87,100317.87,100827.9925,2612345831585.394,102595.0,95722.79,100949.06091666665,100966.21225,51.95210093390801,58.09447698004078,285.0051850796808,-226.91070809964,0.11207936507936508,0.01288095238095238,0.8750436507936508,0.21297857142857143,0.0,0.0,0.936,0.0
2024-12-13,100201.9,101291.56,100488.06,1911625258016.616,102595.0,99220.81,100372.21975,100318.34637500001,51.65663336143961,312.4708311038121,207.42952493674025,105.04130616707188,0.12012608695652174,0.0068913043478260865,0.8729826086956521,0.23674695652173913,0.0,0.0,0.921,0.0
2024-12-14,101373.16,101212.91,101518.065,1666294732308.6335,102650.0,99220.81,101538.13341666666,101549.23741666666,50.081664955839045,-15.091500023423578,65.95028219538406,-81.04178221880764,0.11794570135746606,0.018687782805429865,0.863371040723982,0.19935882352941178,0.0,0.0,0.936,0.0
2024-12-15,101447.95,103552.72,102462.97249999999,1309762933301.9731,103869.01,100550.0,102292.4635,102098.88095833334,65.67377983617133,419.80383446387714,388.11353651267575,31.690297951201387,0.08019117647058822,0.026122549019607845,0.8936911764705882,0.11427598039215686,0.0,0.0,1.0,0.0
2024-12-16,104646.12,105771.54,105270.99916666666,1945672139865.0186,107857.79,101271.09,105043.78474999999,104698.03666666667,66.39188476671573,693.2736691416649,727.1506825563017,-33.87701341463685,0.03714468085106382,0.02072340425531915,0.942131914893617,0.0410736170212766,0.0,0.0,1.0,0.0
2024-12-17,106015.7,105601.0,106752.71,2016333005035.2666,108388.88,103220.0,106737.222,106702.03033333334,57.906788689333275,120.3539275173971,351.138801216308,-230.78487369891087,0.027763157894736844,0.009473684210526316,0.9627631578947368,0.04476052631578947,0.0,0.0,1.0,0.0
2024-12-18,106312.99,100834.38,103936.94791666667,1936029601924.9304,108388.88,100080.0,104374.15291666666,104776.42329166667,35.77419367593958,-1118.872801801961,-756.9293802253014,-361.9434215766596,0.04787452471482889,0.012836501901140685,0.9392889733840304,0.06883003802281369,0.0,0.0,1.0,0.0
2024-12-19,100524.43,97823.67,100216.95125,2473926714762.164,106528.13,95537.0,100513.59808333333,101002.58537500001,39.487333533849714,-1398.8457902647642,-1100.998702915189,-297.8470873495753,0.061506437768240343,0.02349356223175966,0.914969957081545,0.08598583690987124,0.0,0.0,1.0,0.0
2024-12-20,97419.66,97492.63,96216.5025,2668221742841.9126,102800.0,92115.66,96247.69708333333,96395.63079166667,40.60989491117858,-387.88223236271006,-782.7965894158145,394.9143570531045,0.09160743801652893,0.04418181818181818,0.8641322314049587,0.07490247933884298,0.0,0.0,1.0,0.0
2024-12-21,97500.2,96933.17,97598.26708333334,2173158038664.69,99596.57,92115.66,97588.95825000001,97542.645125,56.080210342332954,-89.88990148784069,8.584748452151992,-98.47464993999267,0.06286520376175549,0.02186520376175549,0.9152664576802508,0.05909623824451411,0.0,0.0,1.0,0.0
2024-12-22,97248.12,95566.24,96212.3725,1109184683178.4653,99596.57,94182.98,96377.46608333332,96569.48216666667,42.26999644875222,-522.6128936372697,-422.0532838566208,-100.55960978064894,0.07355956678700361,0.026938628158844766,0.8994909747292419,0.07509241877256317,0.0,0.0,1.0,0.0
2024-12-23,94997.98,95190.88,94703.22625,1222354053022.4219,97429.0,92360.91,94767.50016666668,94976.54558333334,43.89634760459129,-500.9721201834036,-535.5454935997076,34.57337341630398,0.04886220472440945,0.03163779527559055,0.9195,0.04033464566929134,0.0,0.0,1.0,0.0
2024-12-24,94486.63,98910.45,95782.58583333333,1417617417538.01,99554.0,92360.91,95436.81374999999,94920.20554166667,60.43215037545348,1098.5869602073071,792.2183313857399,306.3686288215672,0.07933333333333334,0.030736666666666666,0.8899266666666666,0.11235033333333334,0.0,0.0,1.0,0.0
2024-12-25,98645.58,99133.04,98367.61375,1054091869595.6963,99554.0,93426.25,98324.00425,98283.62320833333,57.16475444192822,468.2950958773872,490.5831810339896,-22.28808515660233,0.06421452145214522,0.03957095709570957,0.8962079207920791,0.07897788778877889,0.0,0.0,1.0,0.0
2024-12-26,99900.0,95420.7,96703.13791666667,908751487164.299,99900.0,95083.93,96986.97608333333,97298.60854166666,37.110953880042125,-618.2182176550559,-608.5245770455913,-9.693640609464635,0.044656488549618324,0.04628625954198474,0.9089961832061069,0.033900000000000007,0.0,0.0,1.0,0.0
2024-12-27,95779.83,94278.12,95576.08333333333,1100249763438.5503,99800.58,93234.31,95674.635,95813.30975,49.164645764050164,-565.739396082543,-445.06027623755006,-120.6791198449929,0.05514736842105263,0.03355438596491228,0.9112807017543859,0.08093964912280703,0.0,0.0,1.0,0.0
2024-12-28,94274.75,95105.79,94585.87791666666,993643276473.3722,97554.0,93234.31,94536.90841666667,94493.23954166665,50.18218960956586,-13.54023989441339,-109.26954748433133,95.72930758991792,0.10467811158798283,0.041150214592274685,0.8541716738197425,0.1516390557939914,0.0,0.0,0.882,0.0
2024-12-29,95033.65,93136.3,94471.31833333334,532942301496.21655,95916.0,92866.0,94602.17074999999,94724.23562499999,43.65946523682737,-397.7766718135972,-250.95336368760056,-146.82330812599662,0.07246698113207548,0.06579716981132075,0.8617358490566037,0.0559122641509434,0.0,0.0,0.9075,0.0
2024-12-30,93540.0,92286.7,93282.66875,815232971712.6533,95529.0,91256.6,93327.77841666667,93355.01075,42.39079721244399,-235.56693939017717,-241.5945690867565,6.027629696579368,0.0733175965665236,0.02706008583690987,0.8996223175965665,0.13896738197424893,0.0,0.0,1.0,0.0
2024-12-31,92713.04,93459.91,93557.99826086956,1240103967643.816,96400.0,91256.6,93525.40452173912,93472.27517391303,56.74925837875809,134.89662162894092,253.61862691186047,-118.72200528291955,0.09960648148148149,0.027930555555555556,0.8724675925925927,0.1479662037037037,0.0,0.0,0.918,0.0
2025-01-01,93380.0,94683.43,93778.03000000001,869556865909.4567,96400.0,91887.13,93688.32966666667,93681.54820833333,48.981451517060755,231.9069819147262,115.48635345183978,116.42062846288644,0.09755714285714284,0.026071428571428575,0.8763714285714286,0.17691095238095236,0.0,0.0,0.918,0.0
2025-01-02,94353.11,96679.99,96175.60458333335,763442703606.1047,97887.0,92588.1,95979.40383333333,95673.18975,71.08961001708906,637.2081306992477,684.192198555698,-46.98406785645034,0.11557831325301204,0.05221084337349397,0.8322108433734939,0.16644156626506024,0.172,0.0,0.783,0.2263
2025-01-03,96914.13,98248.22,97173.19583333335,897014218828.7521,99028.0,94248.02,97059.88766666666,96949.24120833333,54.78128481684675,541.7082399331848,434.26669126023256,107.44154867295224,0.10789732142857143,0.03756696428571429,0.85453125,0.18475401785714288,0.0,0.0,0.877,0.0
2025-01-04,98072.0,98227.53,97997.27333333333,779718472841.3167,99028.0,96016.63,97995.67791666667,98003.32108333334,53.1441698229897,188.6064560587984,176.79266113557367,11.813794923224693,0.1189280303030303,0.04462878787878788,0.8364507575757576,0.1990909090909091,0.0,0.0,0.836,0.0
2025-01-05,98243.7,98604.46,98061.98916666668,467129402268.38086,98889.0,97250.0,98052.898,98056.49200000001,49.501427944509544,92.86864252592204,25.55568249110825,67.31296003481378,0.11591735537190083,0.058413223140495865,0.8256694214876034,0.1128202479338843,0.0,0.0,0.817,0.0
2025-01-06,98519.26,102139.41,100178.09166666667,642548668343.8247,102560.0,97250.0,99876.48375,99465.23329166666,68.23845024072124,967.380327873223,820.1240503298162,147.25627754340678,0.12543349753694583,0.055926108374384234,0.8186453201970444,0.15845024630541873,0.0,0.0,0.792,0.0
2025-01-07,102056.44,96885.62,99980.13291666667,1149415062553.9148,102760.0,96100.0,100418.66116666666,100927.72858333333,35.90869526026352,-1138.3407904273918,-727.4294838785684,-410.9113065488234,0.11518947368421052,0.05458947368421053,0.8302210526315789,0.19846315789473687,0.074,0.0,0.822,0.0258
2025-01-08,96914.3,95035.86,95548.17958333333,1572289542655.027,102517.734,92500.0,95730.12616666667,96005.53579166667,29.327774538684917,-882.1641197001736,-979.2562374015738,97.09211770140018,0.11569633507853402,0.04749738219895287,0.836806282722513,0.12840157068062827,0.074,0.0,0.826,0.0
2025-01-09,94941.54,92580.88,93469.8,1483892725593.645,97287.0,91168.5,93666.24766666668,93830.65816666668,41.69855253595064,-679.7083734707558,-661.8050633426551,-17.903310128100657,0.10527918781725888,0.0312741116751269,0.863472081218274,0.16315329949238577,0.0,0.0,0.842,0.0
2025-01-10,92585.1,94752.89,94165.96833333334,1479480471602.982,95930.0,91168.5,93957.75516666665,93786.46433333332,60.917084583272135,253.6619312138646,195.73994492247445,57.92198629139014,0.14620253164556962,0.03912658227848101,0.8147721518987342,0.28946708860759496,0.177,0.0,0.8,0.3612
2025-01-11,94651.67,94588.35,94383.49375000001,1080615095231.95,95930.0,92200.0,94388.7945,94410.64358333334,48.58797338825858,80.73338840667566,48.49699756093618,32.23639084573948,0.1324493670886076,0.07164556962025316,0.7959240506329114,0.2530164556962025,0.144,0.072,0.778,0.3488
2025-01-12,94530.52,94075.59,94499.73625,395124240107.7968,95534.0,93652.2,94533.73,94485.47933333334,51.205755519685,25.266490925467224,75.31793599766242,-50.05144507219519,0.10434408602150538,0.042849462365591395,0.8528118279569892,0.1678698924731183,0.108,0.0,0.876,0.0382
2025-01-13,94410.9,94278.35,93047.9375,920448640961.3503,96069.0,89005.8,93072.35516666668,93308.12191666667,38.78615435852881,-136.86864603831782,-462.26886992311887,325.40022388480105,0.07105347593582888,0.03259893048128342,0.8963475935828876,0.09314759358288771,0.0,0.0,0.909,0.0
